Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|VinNumeroSerie|KilometrajeVehiculo|FechaPagoReal
1680|5005484|230|87032299|3|3FMCR9BN9SRF76989|0|2026-01-06 17:08:00|
1680|5005483|230|87032299|2|3FMCR9CNXSRF83075|0|2026-01-06 17:36:00|
1669|6900407|510|87032399|1|LJXBS5A39TYF68105|0|2026-01-13 10:53:02|
1669|5000252|430|87038001|1|WF0TK3R79SMA57530|0|2026-01-07 17:42:01|
1680|5005483|230|87043199|11|3FTTW8BA7TRA23781|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B30TRA13613|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B34TRA12402|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|2|3FMCR9CNXSRF86347|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN9SRF75257|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BNXSRF67279|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|16|3FTTW8B34TRA09130|0|2026-01-06 17:08:03|
1669|5000252|430|87038001|1|WF0TK4SX6SMA58182|0|2026-01-07 17:42:01|
1680|5005482|230|87043199|11|3FTTW8BA2TRA21419|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|6|3FTCW8PA8TRA23250|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B30TRA07567|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA7TRA22503|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R78SMA59706|0|2026-01-07 17:42:01|
1680|5005483|230|87032299|2|3FMCR9CNXSRF82475|0|2026-01-06 17:36:00|
1669|6900407|510|87032399|1|LJXBS5A30TYF67375|0|2026-01-13 10:53:02|
1669|5000252|430|87038001|1|WF0TK3R77SMA60085|0|2026-01-07 17:42:01|
1680|5005483|230|87043199|11|3FTTW8BA7TRA15325|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA9TRA38865|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|10|3FTTW8SA4TRA40182|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|2|3FMCR9CNXSRF86168|0|2026-01-06 17:08:03|
1669|6900370|510|87034099|2|LJXBS5AC1TYF62699|0|2026-01-03 09:35:00|
1669|6900407|510|87032399|1|LJXBS5A3XTYF68064|0|2026-01-13 10:53:02|
1680|5005483|230|87045199|13|3FTTW8A34TRA00445|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN7SRF42808|0|2026-01-06 17:36:00|
1680|6011233|240|87032499|2|5LMJJ3TG2TEL00179|0|2026-01-14 18:07:07|
1680|5005483|230|87043199|10|3FTTW8SA5TRA26484|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA9TRA28398|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA7TRA10481|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R77SMA58112|0|2026-01-07 17:42:01|
1680|5005482|230|87043199|12|3FTTW8JA9TRA11987|0|2026-01-06 17:08:03|
1669|6900407|510|87032399|1|LJXBS5A30TYF67585|0|2026-01-13 10:53:02|
1680|5005483|230|87032299|3|3FMCR9BN3SRF76387|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA6TRA23867|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA9TRA23010|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|10|3FTTW8SA6TRA18930|0|2026-01-06 17:36:00|
1680|6011233|240|87032499|1|1FMJK1MG4TEA00534|0|2026-01-14 18:07:07|
1680|5005483|230|87032299|3|3FMCR9BN7SRF43442|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BNXSRF59540|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN7SRF74402|0|2026-01-06 17:08:03|
1680|5005483|230|87045199|16|3FTTW8B33TRA13976|0|2026-01-06 17:36:00|
1669|6007883|430|87042199|1|AFAHR6LJ2TP146627|0|2026-01-19 14:05:01|
1669|5023760|430|87032399|3|3FMCR9DAXSRF59970|0|2026-01-06 16:51:01|
1680|5005483|230|87045199|14|3FTTW8H3XTRA13268|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA6TRA22265|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R76SMA60028|0|2026-01-07 17:42:01|
1680|5005482|230|87043199|12|3FTTW8JA9TRA19636|0|2026-01-06 17:08:03|
1669|6900407|510|87032399|1|LJXBS5A33TYF68715|0|2026-01-13 10:53:02|
1680|5005483|230|87032299|3|3FMCR9BN3SRF75904|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA4TRA23723|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA9TRA21905|0|2026-01-06 17:36:00|
1669|5023760|430|87032399|3|3FMCR9DAXSRF60150|0|2026-01-06 16:51:01|
1669|6007883|430|87042199|1|AFAHR6LJ1TP146196|0|2026-01-19 14:05:01|
1669|6900410|510|87032399|1|LJXBS5A30TYF60166|0|2026-01-15 15:58:03|
1669|6900407|510|87032399|1|LJXBS5A30TYF69031|0|2026-01-13 10:53:02|
1680|5005482|230|87045199|16|3FTTW8B34TRA14330|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|3|3FMCR9BN7SRF43988|0|2026-01-06 17:36:00|
1669|6007883|430|87042199|1|AFAHR6LJXTP146312|0|2026-01-19 14:05:01|
1669|5023760|430|87032399|3|3FMCR9DAXSRF60679|0|2026-01-06 16:51:01|
1680|5005483|230|87043199|12|3FTTW8JA9TRA18051|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA4TRA21941|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R76SMA58313|0|2026-01-07 17:42:01|
1680|5005482|230|87043199|12|3FTTW8JA9TRA22701|0|2026-01-06 17:08:03|
1680|5005484|230|87045199|13|3FTTW8S33TRA17378|0|2026-01-06 17:08:00|
1669|5023760|430|87032399|3|3FMCR9DA2SRF60563|0|2026-01-06 16:51:01|
1680|5005483|230|87043199|11|3FTTW8BA4TRA15329|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA9TRA02660|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B34TRA14649|0|2026-01-06 17:36:00|
1669|6007883|430|87042199|1|AFAHR6LJ8TP146552|0|2026-01-19 14:05:01|
1680|5005482|230|87043199|7|3FTTW8NA9TRA22787|0|2026-01-06 17:08:03|
1680|5005483|230|87045199|14|3FTTW8H3XTRA13626|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BN7SRF72987|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|3|3FMCR9BN7SRF59043|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN4SRF85468|0|2026-01-06 17:36:00|
1669|5023760|430|87032399|3|3FMCR9DAXSRF60908|0|2026-01-06 16:51:01|
1680|5005484|230|87032299|3|3FMCR9BN2SRF83315|0|2026-01-06 17:08:00|
1680|5005483|230|87043199|11|3FTTW8BA4TRA12902|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R76SMA57596|0|2026-01-07 17:42:01|
1680|5005482|230|87043199|12|3FTTW8JA9TRA29471|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN6SRF81079|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|3|3FMCR9BN3SRF73019|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA3TRA24166|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|14|3FTTW8H3XTRA15697|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B35TRA00307|0|2026-01-06 17:36:00|
1669|6007883|430|87042199|1|AFAHR6LJXTP146634|0|2026-01-19 14:05:01|
1680|5005483|230|87032299|3|3FMCR9BN7SRF59463|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BNXSRF59019|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|16|3FTTW8B35TRA06284|0|2026-01-06 17:08:03|
1669|6000815|510|87034099|1|LJXBS5AC3TYF70786|0|2026-01-31 11:06:01|
1680|5005483|230|87032299|3|3FMCR9BN5SRF42872|0|2026-01-06 17:36:00|
1680|5005482|230|87045199|16|3FTTW8B3XTRA06927|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|12|3FTTW8JA8TRA39215|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA3TRA22756|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R75SMA59761|0|2026-01-07 17:42:01|
1680|5005482|230|87043199|12|3FTTW8JA9TRA34783|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|11|3FTTW8BAXTRA23712|0|2026-01-06 17:36:00|
1669|5023760|430|87032399|3|3FMCR9DA2SRF60840|0|2026-01-06 16:51:01|
1680|5005483|230|87043199|11|3FTTW8BA3TRA21039|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA8TRA31308|0|2026-01-06 17:36:00|
1669|5023760|430|87032399|3|3FMCR9DA8SRF60051|0|2026-01-06 16:51:01|
1669|6007883|430|87042199|1|AFAHR6LJ9TP146544|0|2026-01-19 14:05:01|
1669|6000815|510|87034099|1|LJXBS5AC2TYF73310|0|2026-01-31 11:06:01|
1680|5005482|230|87032299|3|3FMCR9BNXSRF43063|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN7SRF66722|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN6SRF67424|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN5SRF43875|0|2026-01-06 17:36:00|
1680|5005482|230|87045199|17|3FTTW8J37TRA33116|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|12|3FTTW8JA8TRA23600|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA3TRA14057|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R75SMA57654|0|2026-01-07 17:42:01|
1680|5005482|230|87032299|3|3FMCR9BN6SRF80207|0|2026-01-06 17:08:03|
1680|5005483|230|87045199|16|3FTTW8B38TRA12208|0|2026-01-06 17:36:00|
1669|5023760|430|87032399|3|3FMCR9DA3SRF46302|0|2026-01-06 16:51:01|
1669|6000815|510|87032399|2|LJXBS5A35TYF68618|0|2026-01-31 11:06:01|
1680|5005483|230|87043199|12|3FTTW8JA4TRA23237|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|10|3FTTW8SA7TRA19214|0|2026-01-06 17:36:00|
1669|6007883|430|87042199|1|AFAHR6LJ7TP146574|0|2026-01-19 14:05:01|
1680|5005483|230|87032299|2|3FMCR9CN5SRF84652|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BNXSRF68206|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|16|3FTTW8B35TRA11985|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN5SRF83758|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN5SRF44119|0|2026-01-06 17:36:00|
1680|5005482|230|87045199|17|3FTTW8J37TRA20446|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|12|3FTTW8JA4TRA22105|0|2026-01-06 17:36:00|
1669|6000815|510|87032399|2|LJXBS5A34TYF72997|0|2026-01-31 11:06:01|
1669|5000252|430|87038001|1|WF0TK1E42SMA58082|0|2026-01-07 17:42:01|
1680|5005483|230|87045199|16|3FTTW8B38TRA04643|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B37TRA15472|0|2026-01-06 17:36:00|
1680|5005482|230|87045199|15|3FTTW8S34TRA20404|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|11|3FTTW8BA2TRA24367|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA4TRA15591|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|8|3FTTW8AA6TRA14989|0|2026-01-06 17:36:00|
1680|5005482|230|87043199|11|3FTTW8BA2TRA23106|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN5SRF82626|0|2026-01-06 17:36:00|
1669|6000815|510|87034099|1|LJXBS5AC7TYF71004|0|2026-01-31 11:06:01|
1680|5005482|230|87032299|3|3FMCR9BN7SRF59558|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN5SRF82030|0|2026-01-06 17:36:00|
1669|6007883|430|87042199|1|AFAHR6LJ5TP146606|0|2026-01-19 14:05:01|
1680|5005483|230|87045199|16|3FTTW8B35TRA07659|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|14|3FTTW8H30TRA14056|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|11|3FTTW8BA4TRA19509|0|2026-01-06 17:36:00|
1669|6900407|510|87034099|2|LJXBS5AC4TYF68674|0|2026-01-13 10:53:02|
1680|5005483|230|87032299|3|3FMCR9BN6SRF81101|0|2026-01-06 17:36:00|
1680|5005482|230|87043199|12|3FTTW8JA9TRA39594|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|15|3FTTW8S34TRA16367|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|11|3FTTW8BA4TRA14245|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|14|3FTTW8H3XTRA20060|0|2026-01-06 17:36:00|
1680|5005482|230|87045199|17|3FTTW8J37TRA14694|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|2|3FMCR9CNXSRF85988|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN5SRF81069|0|2026-01-06 17:36:00|
1669|5000252|430|87038001|1|WF0TK3R74SMA59928|0|2026-01-07 17:42:01|
1680|5005482|230|87045199|16|3FTTW8B35TRA14854|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CN5SRF80116|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN5SRF79646|0|2026-01-06 17:36:00|
1680|5005484|230|87032399|4|3FMCR9DA1SRF74910|0|2026-01-06 17:08:00|
1680|5005484|230|87032299|3|3FMCR9BN1SRF76369|0|2026-01-06 17:08:00|
1680|5005483|230|87043199|11|3FTTW8BA3TRA24426|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|2|3FMCR9CN2SRF85824|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|15|3FTTW8S35TRA13574|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JAXTRA00996|0|2026-01-06 17:08:03|
1669|5023760|430|87032399|3|3FMCR9DA3SRF59938|0|2026-01-06 16:51:01|
1669|6000815|510|87032399|2|LJXBS5A34TYF70201|0|2026-01-31 11:06:01|
1680|5005483|230|87043199|12|3FTTW8JA4TRA05532|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BN2SRF59225|0|2026-01-06 17:08:03|
1669|6007883|430|87043199|2|AFAHR6MB3TP146594|0|2026-01-19 14:05:01|
1680|5005483|230|87032299|3|3FMCR9BN7SRF65442|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BNXSRF62311|0|2026-01-06 17:08:03|
1669|5000252|430|87038001|1|WF0TK3R74SMA58021|0|2026-01-07 17:42:01|
1680|5005483|230|87032299|3|3FMCR9BN7SRF70026|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN5SRF80215|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B35TRA14756|0|2026-01-06 17:36:00|
1680|5005484|230|87032299|3|3FMCR9BN3SRF74025|0|2026-01-06 17:08:00|
1680|6011280|240|87043199|1|1FTFW1L5XTKD39959|0|2026-01-30 18:41:08|
1669|5023760|430|87032399|3|3FMCR9DA3SRF60118|0|2026-01-06 16:51:01|
1680|5005482|230|87045199|16|3FTTW8B38TRA05579|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|15|3FTTW8S34TRA24047|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|15|3FTTW8S34TRA02288|0|2026-01-06 17:08:03|
1680|6011279|240|87043199|2|1FTFW1L58TKD26997|0|2026-01-30 18:41:07|
1680|5005483|230|87043199|12|3FTTW8JA3TRA40451|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|2|3FMCR9CN7SRF75919|0|2026-01-06 17:36:00|
1669|6007883|430|87043199|2|AFAHR6MB2TP146599|0|2026-01-19 14:05:01|
1680|5005482|230|87032299|3|3FMCR9BN2SRF80883|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|12|3FTTW8JA9TRA21838|0|2026-01-06 17:36:00|
1680|5005482|230|87045199|16|3FTTW8B36TRA08061|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN2SRF79894|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|3|3FMCR9BN5SRF80716|0|2026-01-06 17:36:00|
1680|6011255|240|87045199|2|1FTFW7LD7TFA10851|0|2026-01-20 18:30:10|
1680|5005484|230|87032299|3|3FMCR9BN1SRF77327|0|2026-01-06 17:08:00|
1680|6011279|240|87043199|2|1FTFW1L56TKD29638|0|2026-01-30 18:41:07|
1669|5023760|430|87032399|2|3FMCR9DA7SRF44598|0|2026-01-06 16:51:01|
1680|5005482|230|87045199|16|3FTTW8B38TRA10331|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|16|3FTTW8B38TRA16355|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|15|3FTTW8S33TRA28705|0|2026-01-06 17:08:03|
1669|6000815|510|87032399|2|LJXBS5A33TYF73039|0|2026-01-31 11:06:01|
1680|5005483|230|87032299|3|3FMCR9BN3SRF77815|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B36TRA03670|0|2026-01-06 17:36:00|
1669|6007883|430|87043199|2|AFAHR6MB1TP146321|0|2026-01-19 14:05:01|
1680|5005482|230|87043199|8|3FTTW8AA0TRA15703|0|2026-01-06 17:08:03|
