Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
3147|5038481|470|3|LA REGLA 4.5.30 DE LAS RGCE VIGENTES, MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA|1|2026-01-29 19:09:00|
3949|6032961|160|3|TRANSPORTE DE LOS LINEAMIENTOS DE FUNCIONES A CARGO DE LA ADMINISTRACION GENERAL DE ADUANAS QUE HABRA DE APLICAR LAS UNI|1|2026-01-21 17:33:06|
3147|5038781|470|13|DEC56B48C9UUID CARTA PORTE:0327E434-4DE4-409A-A6C4-9BFB2F001B29,68E06B21-4958-441D-B783-D264E0AEA32E,739F856B-B9CA-4E62-|1|2026-01-29 22:00:01|
1869|6000035|180|9|OF MEXICO S. DE R.L. DE C.V.|1|2026-01-21 16:02:00|
1680|6000844|800|6|9.PE: 1109R|1|2026-01-21 15:46:01|
1680|6011256|240|2|EHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE PAGO|1|2026-01-21 14:40:03|
1680|6011287|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-31 14:44:01|
3129|6000613|240|13|CACIAS NAVE 10,CUAUTLANCINGO, PUEBLA CP.72710 CLARTON HORN MEXICO S DE RL DE CV ,AV. DE LA CRUZ NO. 103 SANTIAGO, QRTO.|2|2026-01-21 16:01:11|
1669|6900440|510|1|MARCAS, NUMERO, TOTAL DE BULTOS:60 VEHICULOSRECINTO: 259(SSA)PESO BRUTO:104,400.00 KGLA PRESENTE OPERACION SE REALIZA EN|2|2026-01-28 15:44:01|
1733|6002677|640|1|ESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-00-00-2025-5374 OTORGADO|1|2026-01-28 18:13:05|
1680|6011251|240|3|DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRACCIO|1|2026-01-20 17:55:02|
1680|6011262|240|1|FACTURAS CON MAS DE 15 CARACTERES: TTGX941598-A76477-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA|1|2026-01-22 18:35:11|
1680|6011271|240|1|FACTURAS CON MAS DE 15 CARACTERES: TTGX975700-A76563-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA|1|2026-01-23 18:46:04|
3949|5104821|071|6|ADE-586C-4AA1-86C6-0A08A25D1077. , 57603423-BFFF-4049-99DA-2C1D71EB344E. , 66E8EA4C-5ED0-4511-B1F5-98D235A564FB. , 6EEF7|1|2026-01-08 13:26:00|
1680|6002456|800|2|VAMENTE DE CONFORMIDADCON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL MANUALDE OPERA|1|2026-01-14 13:24:04|
1680|6001005|230|8|ON FECHA DEL 2 DE JUNIO DEL 2014.PE1309RPLANTA HERMOSILLO.|1|2026-01-19 11:13:02|
1669|6001813|810|7|CONTENEDOR: MSMU107396501 BULTO DENTRO DEL CONTENEDOR: MSBU143224901 BULTO DENTRO DEL CONTENEDOR: MEDU544453001 BULTO D|1|2026-01-30 11:25:01|
3147|5038653|470|7|CAMBIO DE RAZON SOCIAL DE HENRY FORD 100 PISO 5 COL.SAN MATEO NOPALA C.P. 53126 NAUCALPAN DE JUAREZ, ESTADO DE MEXICO,|1|2026-01-29 22:06:01|
1680|6002502|800|6|A IMPORTARSE DEFINITIVAMENTE DE CONFORMIDAD CON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2|1|2026-01-26 13:32:00|
1680|6011261|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-22 18:35:10|
3147|5038653|470|16|0E6C8A4D-5DDA-48DE-BC3D-DD810132E0CD,1A2DD06F-3B3C-429F-ADAE-7506917D44D1,2FF3D694-F3DF-44E0-8160-52BBD29E25F3,5BFF6CD2-|1|2026-01-29 22:06:01|
1680|6024642|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-28 12:37:02|
1680|6011278|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-30 18:41:06|
3949|6000026|670|4|L OFICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA|1|2026-01-28 12:06:00|
1680|6011279|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-30 18:41:07|
1680|5031253|800|6|304236C5. NUMERO DE AUTORIZACION DE DEPOSITO FISCAL: 500-00-00-00-00-2025-5374EMPRESA QUE RECIBE: FORD MOTOR COMPANY SA|1|2026-01-28 12:58:02|
1680|6011247|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-19 16:27:06|
1680|6024641|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-28 12:37:04|
1680|5035180|800|6|P. , 12102025-DB-44HEXP. , 12102025-DB-64JEXP. , 12152025-LME-D2LEXP. , 12152025-LME-D3LEXP. , 12162025-DB-64JEXP. , 122|1|2026-01-19 16:02:02|
1680|6002461|800|1|NACIONALIZACION DEL PEDIMENTO F2: 24 24 1680 4042040EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITI|1|2026-01-14 13:26:01|
3147|5023952|650|3|15 DE NOVIEMBRE DEL 2029.FACTOR DE INCREMENTABLES DE DICIEMBRE 0.01109UUID CARTA PORTE: 59A611D4-D6BB-45F0-B8F3-CF0BB1BB|1|2026-01-08 14:52:01|
1680|6011283|240|1|FACTURAS CON MAS DE 15 CARACTERES: TM2530-BT3849-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA DE V|1|2026-01-30 17:53:04|
3949|6000507|670|4|ICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO.500-00-00-00-00-2025-5374 CUYA VIGENCIA INIC|1|2026-01-26 14:03:01|
1680|6011260|240|4|CCION VII DE LA LEY DE TENENCIA|1|2026-01-22 18:35:09|
1680|6002472|800|3|RACION ADUANERA VIGENTE DENTRO DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEH|1|2026-01-21 15:15:07|
1680|6002464|800|1|NACIONALIZACION DEL PEDIMENTO F2: 24 24 1680 4044983EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITI|1|2026-01-21 15:15:03|
3147|6001397|470|9|NOVIEMBRE DEL 2029AREA PD    PLANTA: 05008   TIPO DE MATERIAL: PROTOTIPOINCOTERM: FCAFACTOR INCREMENTABLE DEL MES DE ENE|1|2026-01-23 18:30:02|
1680|6024627|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-22 16:26:04|
3147|5005609|850|2|DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA RE|1|2026-01-20 14:43:15|
1669|6900440|510|8|6WCT45SE AGREGA EDOCUMENT:01922616WCTD7 DATOS DEL IMPORTADOR / EXPORTADOR:DOMICILIO DICE:HENRY FORD 100 PISO 5 COL. SAN|2|2026-01-28 15:44:01|
1680|6002504|800|2|ECRETO DEL MISMO NOMBRE Y LAS MERCANCIAS SE DESTINEN A LA PRODUCCION DE ALGUNO DE LOS BIENES DEL ARTICULO 4 DE DICHO ORD|1|2026-01-28 17:10:06|
1680|6002502|800|4|NO. 500-00-00-00-00-2025-5374 CUYA VIGENCIA INICIA EL 02 DE SEPTIEMBRE DE 2025, MOTIVO POR EL CUAL SE DECLARA ESTE ULTIM|1|2026-01-26 13:32:00|
1669|6900440|510|10|RY FORD 100 PISO 5 COL. EL CRISTO C.P. 53126 NAUCALPAN DE JUAREZ, ESTADO DE MEXICO, MEXICO (ESTADOS UNIDOS MEXICANOS)SE|2|2026-01-28 15:44:01|
3949|6032961|160|6|BLE O REPARACION, CON LA SIGUIENTE RAZON SOCIAL Y DIRECCION:  NATIONAL MATERIAL DE MEXICO VIA DE ESCAPE: ZVP:02-762-94 C|1|2026-01-21 17:33:06|
3147|6001295|470|3|5 AL 15 DE NOVIEMBRE DEL 2029PLANTA: 1102 TIPO DE MATERIAL: NO PRODUCTIVOINCOTERM: FCAFACTOR INCREMENTABLE DEL MES DE EN|1|2026-01-21 11:53:01|
1680|5031282|800|5|FORD MOTOR COMPANY S.A. DE C.V., HENRY FORD 100 PISO 5 COL.SAN MATEO NOPALA, NAUCALPAN NO. 100, JUAREZ ESTADO DE MEXICO.|1|2026-01-14 08:30:01|
3569|5000186|120|1|HSAP 1301 MATERIAL PRODUCTIVO.  LA PRESENTE OPERACION SE EFECTUA BAJO CONFORMIDAD CON LAS REGLAS 1.9.17 Y 3.1.32 DE LAS|1|2026-01-05 09:31:02|
3949|6000019|670|1|PLANTA: EF18A TIPO DE MATERIAL: SCRAP DE MATERIAL PRODUCTIVO EL IMPORTADOR CUENTA CON AUTORIZACION DE DEPOSITO FISCAL PA|1|2026-01-26 13:44:01|
3147|6000328|850|2|AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA REGLA 4.5.30 DE LAS RGCE VIGENTES, M|2|2026-01-21 12:46:09|
1680|6011258|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-21 18:27:09|
3147|6001397|470|4|CON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL APARTADO DEPOSITO FISCAL PARA LA IN|1|2026-01-23 18:30:02|
1733|6002732|640|3|NTO: 25-640-1733-5031974FACTOR INCREMENTABLES: 0.10194PLANTA: 1602TIPO DE MATERIAL: NO PRODUCTIVO|1|2026-01-28 17:50:03|
3949|6000026|670|5|INICIA EL 02 DE SEPTIEMBRE DE 2025 MOTIVO DEL CUAL SE DECLARA ESTE ULTIMO.|1|2026-01-28 12:06:00|
1680|6011270|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-23 18:46:04|
3949|6000024|670|4|OFICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO.500-00-00-00-00-2025-5374 CUYA VIGENCIA I|1|2026-01-28 11:56:00|
1680|5031252|800|3|TROY MI 48098 USA TAX ID: 27-0791190TRANSFIERE: APTIV CONTRACT SERVICES DE MEXICO S DE RL DE CV MAQUILADORA PROGRAM 711|1|2026-01-28 12:58:01|
1680|6011271|240|3|AGO DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRA|1|2026-01-23 18:46:04|
1869|6000036|180|6|ADMINISTRACION GENERAL DE ADUANAS QUE HABRAN DE APLICAR LAS UNIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA, D|1|2026-01-21 16:06:00|
1680|6024629|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-21 14:04:04|
3949|6000021|670|5|NICIA EL 02 DE SEPTIEMBRE DE 2025 MOTIVO DEL CUAL SE DECLARA ESTE ULTIMO|1|2026-01-28 11:28:01|
3147|5038781|470|6|INCREMENTABLES PARA EL MES DE DICIEMBRE ES 0.23941FLETES: 0.23940SEGUROS: 0.00001SE CONSIDERA QUE EL IMPORTADOR SUFRE U|1|2026-01-29 22:00:01|
1669|5000222|810|11|65 PARRAFO 2. DEL REGLAMENTO DE LA LEY SIENDO ESTA LA TERCERA OPERACION.|1|2026-01-08 15:44:00|
1680|5000285|230|7|CONFORMIDAD CON LA REGLA GENERAL DE COMERCIO EXTERIOR 5.1.4 VIGENTE.SONORA FORMING S.A DE C.VPARQUE INDUSTRIAL DYNATECH|1|2026-01-07 15:44:00|
1669|6001813|810|1|EXTRACCION DE MERCANCIAS AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL DE LA IND. AUTOMOTRIZ NO.326-SAT-57813|1|2026-01-30 11:25:01|
3147|6001296|470|3|5 AL 15 DE NOVIEMBRE DEL 2029  AREA PD    PLANTA: 05008   TIPO DE MATERIAL: PROTOTIPO  INCOTERM: DAP|1|2026-01-21 12:54:01|
1680|6002470|800|5|00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGENCIA DEL 02 DE SEPTIEMBRE DEL 2025 AL 15 DE NOVIEMBRE DEL 202|1|2026-01-20 15:49:02|
3147|6001405|470|2|IO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGENVIA DEL|1|2026-01-27 13:43:02|
1680|6001004|230|7|IOR 5.1.4 VIGENTE.NACIONALIZACION DE MERCANCIA AL AMPARO DEL OFICIO DE ADICION AL ESQUEMA ALTERNATIVONO.414.2014.01012 C|1|2026-01-19 11:13:01|
1680|6002467|800|6|9.PE: 01111|1|2026-01-21 15:15:04|
1680|6002507|800|3|ERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE DE LOS LINEAMIENTOS DE FUNCIONES A CARGO DE LA ADMINISTRACION GEN|1|2026-01-30 15:24:02|
1680|6002502|800|9|MANUAL DE OPERACION ADUANERA EN VIGOR. LA FACTURA SE RELACIONA CON LAS 90920, 90212 Y 90924.|1|2026-01-26 13:32:00|
3147|6000328|850|14|5541029391|2|2026-01-21 12:46:09|
3147|6001295|470|2|POSITO FISCAL NO. 500-00-00-00-00-2025-5374 OTORGADO EL 22 DE AGOSTO DEL 2025, CON VIGENCIA DEL 02 DE SEPTIEMBRE DEL 202|1|2026-01-21 11:53:01|
1680|6002504|800|6|NIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA, DEL MANUAL DE OPERACION ADUANERA EN VIGOR. ESTA OPERACION SE RE|1|2026-01-28 17:10:06|
1680|6002507|800|2|CION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ T|1|2026-01-30 15:24:02|
1680|6000824|800|3|TADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE DE LOS LINEAMI|1|2026-01-30 14:26:01|
1680|6011265|240|1|FACTURAS CON MAS DE 15 CARACTERES: TM2420-BT3843-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA DE V|1|2026-01-23 16:59:05|
1680|6011242|240|1|FACTURAS CON MAS DE 15 CARACTERES: TTGX975476-A00906-1/1REGISTRO ANTE LA SECRETARIA DE ECONOMIA COMO EMPRESA PRODUCTORA|1|2026-01-16 18:26:14|
1669|5000223|810|6|LAS SUBPARTIDAS DE ESTE PEDIMENTO QUEDAN AMPARADAS BAJO LA FRACCION 9803.00.01.00|1|2026-01-08 15:11:01|
1680|6002465|800|3|RACION ADUANERA VIGENTE DENTRO DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEH|1|2026-01-21 15:15:05|
1680|6011256|240|4|N VII DE LA LEY DE TENENCIANODRIZA SIN SELLO FISCAL|1|2026-01-21 14:40:03|
3949|6000017|670|6|NCREMENTABLE DEL MES DE ENERO 0.10194, FLETES .10193, SEGUROS .00001|1|2026-01-22 11:38:02|
1680|6002513|800|3|MINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE DE LOS LINEAMIENTOS DE FUNCIONES A CARGO DE LA ADMINISTRACION GENER|1|2026-01-30 12:51:00|
3949|6000026|670|3|GCE VIGENTES MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA PRESENTE OPERACION BAJO E|1|2026-01-28 12:06:00|
1669|6001813|810|10|U179141102 BULTOS DENTRO DEL CONTENEDOR: HLXU102369802 BULTOS DENTRO DEL CONTENEDOR: FANU1330810NUMERO DE PLANTA 1109RLA|1|2026-01-30 11:25:01|
1680|6001093|230|3|TE AL PERIODO DEL 29-31 DICIEMBRE 2025.|1|2026-01-28 13:53:02|
1669|6900440|510|12|LPAN DE JUAREZ, ESTADO DE MEXICO, MEXICO (ESTADOS UNIDOS MEXICANOS) A  HENRY FORD 100 PISO 5 COL. EL CRISTO C.P. 53126 N|2|2026-01-28 15:44:01|
3147|6001294|470|3|5 AL 15 DE NOVIEMBRE DEL 2029AREA PD    PLANTA: 05008   TIPO DE MATERIAL: PROTOTIPOINCOTERM: FCAFACTOR INCREMENTABLE DEL|1|2026-01-22 12:41:01|
1680|6011257|240|4|CCION VII DE LA LEY DE TENENCIA|1|2026-01-21 18:27:08|
1869|6000030|180|6|ADMINISTRACION GENERAL DE ADUANAS QUE HABRAN DE APLICAR LAS UNIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA, D|1|2026-01-30 11:04:00|
3147|5038222|470|3|LA REGLA 4.5.30 DE LAS RGCE VIGENTES, MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA|1|2026-01-27 13:49:03|
1680|6011265|240|3|DE TENENCIA Y DE ISAN POR SER DISTRIBUIDORA DE AUTOS EN BASE AL ARTICULO 1 FRACCION 2 DE LA LEY DEL ISAN Y ART 8 FRACCIO|1|2026-01-23 16:59:05|
1680|6024636|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-26 18:29:01|
1669|6001581|810|1|LA PRESENTE RECTIFICACION SE EFECTUA DE CONFORMIDAD CON EL ARTICULO 89, DE LA LEY ADUANERA VIGENTE.SE RECTIFICAN COVES:D|2|2026-01-17 10:48:00|
3147|6001012|650|1|NACIONALIZACION PARCIAL DEL PEDIMENTO F2: 25-65-3147-5021965OPERACION DE ACUERDO CON EL ART. 10, FRACCION X, INCISO H TR|1|2026-01-16 12:14:01|
1680|6024637|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-26 18:30:02|
1680|6001005|230|1|EXTRACCION DE MERCANCIAS AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL DE LA IND. AUTOMOTRIZ NO. 500-00-00-00-|1|2026-01-19 11:13:02|
3147|5005611|850|2|E DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA R|1|2026-01-27 23:24:03|
1680|6011251|240|2|EHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE PAGO|1|2026-01-20 17:55:02|
3129|6000603|240|19|LA LEY ADUANERA VIGENTE SE RECTIFICA METODO DE VALORACION DICE 1 DEBE DECIR 6|2|2026-01-21 12:03:03|
3949|6000019|670|3|GCE VIGENTES MISMA QUE ESTABA VIGENTE AL MOMENTO DE LA MODULACION DE LA MERCANCIA OBJETO DE LA PRESENTE OPERACION BAJO E|1|2026-01-26 13:44:01|
3949|6000016|670|5|-00-00-00-2025-5374 CUYA VIGENCIA INICIA EL 2 DE SEPTIEMBRE DE 2025, MOTIVO POR EL CUAL SE DECLARA ESTE ULTIMO. FACTOR I|1|2026-01-22 11:38:01|
1669|6001813|810|20|NSFORMACION, ENSAMBLE O REPARACION, ALMACEN: ACERO PRIMESE APLICA PREFERENCIA ARANCELARIA AMPARADA CON LA LEYENDA EN FAC|1|2026-01-30 11:25:01|
1680|6002475|800|3|RACION ADUANERA VIGENTE DENTRO DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEH|1|2026-01-21 15:15:07|
3129|6000603|240|7|CORTAZAR VILLAGRAN , GUANAJUATO CP.38300 VIBRACOUSTIC TOLUCA SA DE CV PARQUE INDUSTRIAL TOLUCA NO.2000 TOLUCA ESTADO DE|2|2026-01-21 12:03:03|
3147|5005611|850|4|ENTE OPERACION, BAJO EL OFICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO. 500-00-00-00-00-2|1|2026-01-27 23:24:03|
1869|6000030|180|3|TER GENERAL EN MATERIA DE COMERCIO EXTERIOR VIGENTES.ESTA MERCANCIA SE IMPORTA BAJO EL DEPOSITO FISCAL AUTOMOTRIZ NO. 50|1|2026-01-30 11:04:00|
1680|6002467|800|4|ICULOS DE AUTOTRANSPORTEESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-|1|2026-01-21 15:15:04|
3147|6001405|470|1|NACIONALIZACION DEL PEDIMENTO F2: 25 85 3147 5004241 / R1 26 85 3147 6000328ESTA OPERACION SE REALIZA AL AMPARO DEL OFIC|1|2026-01-27 13:43:02|
3376|6001547|240|9|HARMAN BECKER AUTOMOTIVE SYSTEMS, INC 30001 CABOT DRIVE NOVI 483772910|2|2026-01-16 10:05:08|
3949|5000177|670|2|5035947 EMPRESA QUE ENAJENA: KSUS INTERNATIONAL LLC 1731,INDUSTRIAL PARKWAY MARINETTE WI 54143USA TAX ID: 20-3944285 EM|1|2026-01-12 16:53:00|
3949|6000506|670|4|ICIO NO. 326-SAT-57813 Y QUE TUVO ACTUALIZACION CONFORME AL NUEVO OFICIO NO.500-00-00-00-00-2025-5374 CUYA VIGENCIA INIC|1|2026-01-26 14:14:00|
1680|6002466|800|3|RACION ADUANERA VIGENTE DENTRO DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEH|1|2026-01-21 15:15:02|
3949|6000015|670|1|PLANTA: EF18A TIPO DE MATERIAL: SCRAP DE MATERIAL PRODUCTIVO EL IMPORTADOR CUENTA CON AUTORIZACION DE DEPOSITO FISCAL PA|1|2026-01-22 11:37:01|
3949|6000022|670|5|A EL 02 DE SEPTIEMBRE DE 2025 MOTIVO DEL CUALSE DECLARA ESTE ULTIMO|1|2026-01-28 11:40:01|
3949|6000019|670|2|RA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEHICULOS DE AUTOTRANSPORTE AL AMPARO DE LA REGLA 4.5.30 DE LAS R|1|2026-01-26 13:44:01|
1680|6000844|800|1|NACIONALIZACION DEL PEDIMENTO F2: 26 24 1680 5036308EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITI|1|2026-01-21 15:46:01|
1680|6002469|800|4|ICULOS DE AUTOTRANSPORTEESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DEPOSITO FISCAL NO. 500-00-00-|1|2026-01-20 15:49:02|
1869|6000036|180|3|TER GENERAL EN MATERIA DE COMERCIO EXTERIOR VIGENTES.ESTA MERCANCIA SE IMPORTA BAJO EL DEPOSITO FISCAL AUTOMOTRIZ NO. 50|1|2026-01-21 16:06:00|
1669|6900408|510|2|EN TERMINOS DEL NUMERAL 4.3.2.17 DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE V|1|2026-01-19 13:28:02|
3147|5005612|850|1|PLANTA: 02006 FCSD / D2DPEDIMENTO CONSOLIDADO DEL 29 AL 31 DE DICIEMBRE DEL 2025.EL IMPORTADOR CUENTA CON AUTORIZACION D|1|2026-01-26 19:52:11|
1680|6011283|240|2|EHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE PAGO|1|2026-01-30 17:53:04|
